Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
POA,TSW,8.53,2,0.01101068146208637,0.011140741
POA,TSY,11.35,3,0.0065564097100427815,0.0064741173
POA,TUC,11.52,3,0.0063795690473517136,0.006456633
POA,TUM,14.01,3,0.004438524439181341,0.0043425094
POA,TWH,8.44,2,0.01122163171502442,0.0111674415
POA,TWO,8.07,2,0.012155852617580521,0.012132986
POA,TWW,11.07,3,0.006864129364127648,0.0069366577
POA,UNI,7.800000000000001,2,0.012913223140495866,0.013025447
POA,WAC,4.1,1,0.03844675124951942,0.03852999
POA,WCH,8.12,2,0.012022930132348416,0.012132986
POA,WHA,4.9,1,0.02872737719046251,0.02864047
POA,WKS,17.02,2,0.003079572456796678,0.0032664821
POA,WTS,4.2700000000000005,1,0.03600632271026792,0.036191136
POA,YAT,0.62,0,0.3810394756896814,0.3743699
POA,YMT,4.78,1,0.02993259180325906,0.029882992
POA,YUL,11.21,3,0.006707623415240121,0.0067645772
PRE,ADM,0.53,0,0.4271861249946602,0.4326568
PRE,AIR,7.83,2,0.012825626628052979,0.01270016
PRE,AUS,5.6000000000000005,1,0.022956841138659315,0.022760779
PRE,AWE,9.03,2,0.009940268924035474,0.009746836
PRE,CAB,3.6700000000000004,1,0.045852839895638944,0.045918293
PRE,CEN,0.77,0,0.3191930798940279,0.3160256
PRE,CHH,0.5499999999999999,0,0.4162330905306973,0.41507247
PRE,CHW,4.479999999999999,1,0.03329958974905431,0.03344602
PRE,CIO,9.649999999999999,1,0.008816592827701737,0.008799443
PRE,CKT,5.6499999999999995,1,0.022612923285657758,0.022509739
PRE,CSW,0.24,0,0.6503642039542143,0.64147717
PRE,DIH,0.45999999999999996,0,0.4691311690748734,0.46975625
PRE,DIS,8.82,2,0.010369958644604925,0.010340504
PRE,ETS,3.6000000000000005,1,0.04725897920604914,0.04723908
PRE,EXC,3.44,1,0.05072640207775344,0.05053343
PRE,FAN,3.8999999999999995,1,0.041649312786339036,0.041395668
PRE,FOH,3.8200000000000003,1,0.04304333603071572,0.04305966
PRE,FOT,3.4599999999999995,1,0.0502724768243882,0.05053343
PRE,HAH,4.5600000000000005,1,0.03234822214171108,0.032409962
PRE,HEO,10.249999999999998,1,0.007901234567901236,0.00793572
PRE,HFC,4.419999999999999,1,0.03404093081521222,0.03415797
PRE,HIK,3.51,1,0.04916396674549289,0.049279474
PRE,HKU,3.8400000000000003,1,0.04268834096031692,0.042769413
PRE,HOK,5.77,1,0.021818388101123867,0.021582842
PRE,HOM,0.24,0,0.6503642039542143,0.64147717
PRE,HUH,3.3200000000000003,1,0.05358367626886145,0.053351622
PRE,JOR,0.28,0,0.6103515625,0.6151494
PRE,KAT,3.53,1,0.048730806153726214,0.04840475
PRE,KET,3.9000000000000004,1,0.041649312786339016,0.041395668
PRE,KOB,0.6599999999999999,0,0.36289737262302224,0.35610315
PRE,KOT,0.17,0,0.7305135510263716,0.7368085
PRE,KOW,4.359999999999999,1,0.034807306749832935,0.034852
PRE,KSR,3.5100000000000002,1,0.04916396674549289,0.049279474
PRE,KWF,0.65,0,0.36730945821854916,0.3743699
PRE,KWH,0.72,0,0.3380205516495403,0.33367243
PRE,KWT,0.9199999999999999,0,0.2712673611111111,0.2798279
PRE,LAK,0.53,0,0.4271861249946602,0.4326568
PRE,LAT,1.02,0,0.2450740123517302,0.24166647
PRE,LCK,0.31,0,0.5827166249053085,0.59157366
PRE,LET,5.4,1,0.024414062499999997,0.024380168
PRE,LHP,4.41,1,0.03416689159870302,0.03415797
PRE,LMC,4.029999999999999,1,0.03952428569734674,0.039656322
PRE,LOF,0.27,0,0.62000124000248,0.6151494
PRE,LOP,3.93,1,0.04114396685442031,0.04133319
PRE,LOW,4.05,1,0.03921184197627684,0.03927522
