Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
MOS,102.0,馬鞍山,Ma On Shan,TML,False,21,2,5,4,10,102.0,Ma On Shan,87,4.0,3.0,10.0,16.0,12.0,4.0,5.0,8.0,15.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,2,Commercial
NAC,53.0,南昌,Nam Cheong,"TCL,TML",True,21,2,6,4,9,53.0,Nam Cheong,108,9.0,3.0,22.0,11.0,11.0,4.0,4.0,15.0,19.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,2,Commercial
NOP,31.0,北角,North Point,"ISL,TKL",True,20,2,5,4,9,31.0,North Point,226,11.0,2.0,24.0,28.0,29.0,7.0,5.0,13.0,36.0,18.0,0.0,19.0,27.0,2.0,5.0,0.0,1,Residential
NTK,14.0,牛頭角,Ngau Tau Kok,KTL,False,20,2,5,4,9,14.0,Ngau Tau Kok,218,15.0,8.0,31.0,32.0,24.0,15.0,10.0,18.0,21.0,8.0,0.0,17.0,11.0,6.0,2.0,0.0,1,Residential
OCP,86.0,海洋公園,Ocean Park,SIL,False,19,3,5,4,7,86.0,Ocean Park,82,5.0,1.0,11.0,20.0,3.0,19.0,3.0,6.0,3.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,2,Commercial
OLY,41.0,奧運,Olympic,TCL,False,21,3,5,4,9,41.0,Olympic,138,6.0,2.0,20.0,26.0,25.0,4.0,10.0,4.0,11.0,11.0,0.0,7.0,11.0,1.0,0.0,0.0,2,Commercial
POA,52.0,寶琳,Po Lam,TKL,False,20,2,5,4,9,52.0,Po Lam,182,10.0,5.0,17.0,35.0,27.0,15.0,6.0,16.0,31.0,0.0,0.0,9.0,6.0,0.0,5.0,0.0,1,Residential
PRE,16.0,太子,Prince Edward,"KTL,TWL",True,21,3,5,4,9,16.0,Prince Edward,349,13.0,3.0,15.0,52.0,39.0,16.0,6.0,10.0,41.0,88.0,3.0,39.0,21.0,1.0,2.0,0.0,1,Residential
QUB,32.0,鰂魚涌,Quarry Bay,"ISL,TKL",True,20,2,5,4,9,32.0,Quarry Bay,121,15.0,2.0,17.0,18.0,20.0,8.0,3.0,8.0,10.0,3.0,1.0,8.0,3.0,3.0,1.0,1.0,2,Commercial
SHM,99.0,石門,Shek Mun,TML,False,22,2,6,4,10,99.0,Shek Mun,106,3.0,2.0,18.0,22.0,16.0,7.0,5.0,10.0,13.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,2,Commercial
